teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Christian Wood;68;67;30.8;17.9;1.6;8.5;10.1;2.3;0.8;1.0;1.9;2.5;1.2
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Jalen Green;67;67;31.9;17.3;0.5;2.9;3.4;2.6;0.7;0.3;2.0;1.5;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Kevin Porter Jr.;61;61;31.3;15.6;0.7;3.7;4.4;6.2;1.1;0.4;3.1;2.6;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Eric Gordon;57;46;29.3;13.4;0.3;1.7;2.0;2.7;0.5;0.3;1.9;1.1;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Jae'Sean Tate;78;77;26.4;11.8;1.7;3.7;5.4;2.8;0.9;0.5;1.8;3.7;1.6
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Dennis Schroder;15;4;26.9;10.9;0.4;2.9;3.3;5.9;0.8;0.2;2.6;2.5;2.3
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Garrison Mathews;65;33;26.3;10.0;0.5;2.4;2.9;1.0;0.9;0.4;0.6;2.6;1.6
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Alperen Sengun;72;13;20.7;9.6;1.9;3.5;5.5;2.6;0.8;0.9;2.0;3.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Kenyon Martin Jr.;79;2;21.0;8.8;1.0;2.7;3.8;1.3;0.4;0.5;0.8;1.4;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Daniel Theis;26;21;22.5;8.4;1.2;3.8;5.0;0.8;0.4;0.7;1.2;2.4;0.6
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Josh Christopher;74;2;18.0;7.9;0.7;1.8;2.5;2.0;0.9;0.2;1.5;1.3;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Bruno Fernando;10;0;9.4;6.9;1.1;2.9;4.0;0.3;0.1;0.8;0.9;1.8;0.3
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Armoni Brooks;41;8;16.8;6.2;0.3;1.7;2.0;1.2;0.5;0.2;0.6;1.5;2.1
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;D.J. Augustin;34;2;15.0;5.4;0.2;1.0;1.2;2.2;0.3;0.0;1.3;0.5;1.6
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;David Nwaba;46;4;13.2;5.1;0.9;2.4;3.3;0.8;0.6;0.4;0.5;1.2;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Danuel House Jr.;16;1;14.6;4.8;0.3;2.4;2.7;1.2;0.3;0.3;1.1;1.0;1.1
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Trevelin Queen;10;0;7.4;4.3;0.7;0.9;1.6;0.4;0.5;0.1;0.7;0.6;0.6
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Daishen Nix;24;0;10.9;3.2;0.3;1.1;1.4;1.7;0.6;0.0;1.1;0.9;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Usman Garuba;24;2;10.0;2.0;0.9;2.6;3.5;0.7;0.4;0.5;0.3;1.2;2.8
Houston Rockets;hou;2021 - 2022 Regular Season;All Splits;Total;82;"";"";109.7;9.6;32.4;42.0;23.6;7.3;4.7;15.7;20.6;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Christian Wood;33;32;31.9;20.1;1.8;8.1;9.9;2.3;0.8;1.2;1.6;2.5;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Jalen Green;34;34;32.9;19.4;0.5;3.0;3.5;2.8;0.7;0.3;2.0;1.6;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Kevin Porter Jr.;34;34;32.3;16.5;0.7;3.9;4.6;7.0;1.0;0.4;3.3;2.8;2.2
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Bruno Fernando;4;0;17.3;12.8;1.5;6.3;7.8;0.8;0.3;1.8;1.5;3.0;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Garrison Mathews;32;18;28.2;12.3;0.4;2.6;3.0;1.0;1.1;0.4;0.6;2.5;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Eric Gordon;28;22;29.2;12.1;0.3;1.6;1.9;2.8;0.4;0.3;1.7;1.1;1.6
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Jae'Sean Tate;38;37;26.1;10.8;1.6;3.4;5.0;3.2;0.9;0.4;1.5;3.7;2.1
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Dennis Schroder;8;2;27.3;10.3;0.3;3.6;3.9;5.9;0.3;0.0;2.3;2.6;2.6
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Daniel Theis;10;10;23.4;9.3;0.8;3.5;4.3;0.8;0.5;0.8;0.8;3.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Alperen Sengun;34;6;20.5;9.0;1.8;3.5;5.2;2.1;0.8;1.0;1.9;3.0;1.1
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Kenyon Martin Jr.;39;2;20.4;8.8;0.9;2.9;3.8;1.3;0.4;0.5;0.8;1.4;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Josh Christopher;39;0;17.6;8.0;0.5;1.7;2.2;1.9;1.0;0.1;1.4;1.3;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Armoni Brooks;18;3;17.6;6.2;0.3;1.8;2.2;1.3;0.4;0.1;0.6;1.9;2.4
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Danuel House Jr.;10;0;17.3;6.1;0.3;3.0;3.3;1.5;0.3;0.2;1.0;1.2;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Trevelin Queen;3;0;9.0;4.3;1.0;1.0;2.0;0.3;0.3;0.0;1.3;1.0;0.3
Houston Rockets;hou;2021 - 2022 Regular Season;Home;David Nwaba;21;3;12.3;3.9;0.9;2.2;3.1;0.5;0.6;0.5;0.4;1.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;Home;D.J. Augustin;13;0;13.7;3.6;0.2;1.2;1.4;2.5;0.2;0.0;1.2;0.7;2.1
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Daishen Nix;14;0;10.1;2.9;0.3;1.1;1.4;1.4;0.6;0.0;1.1;0.9;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Usman Garuba;11;2;12.5;1.9;1.1;3.6;4.7;0.8;0.3;0.5;0.4;1.4;2.3
Houston Rockets;hou;2021 - 2022 Regular Season;Home;Total;41;"";"";111.9;8.9;32.4;41.3;24.6;7.1;4.8;14.7;21.0;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Christian Wood;35;35;29.7;15.9;1.5;8.8;10.3;2.2;0.8;0.7;2.1;2.5;1.1
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Jalen Green;33;33;30.9;15.0;0.5;2.8;3.2;2.4;0.6;0.2;2.1;1.4;1.2
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Eric Gordon;29;24;29.4;14.7;0.2;1.8;2.0;2.7;0.6;0.3;2.0;1.1;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Kevin Porter Jr.;27;27;29.9;14.4;0.7;3.4;4.1;5.1;1.3;0.3;3.0;2.2;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Jae'Sean Tate;40;40;26.6;12.8;1.8;3.9;5.7;2.6;0.9;0.6;2.1;3.6;1.2
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Dennis Schroder;7;2;26.7;11.6;0.6;2.1;2.7;5.9;1.4;0.4;3.0;2.4;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Alperen Sengun;38;7;20.8;10.2;2.1;3.6;5.7;2.9;0.9;0.9;2.1;3.0;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Kenyon Martin Jr.;40;0;21.5;8.9;1.1;2.6;3.7;1.3;0.5;0.5;0.8;1.4;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Josh Christopher;35;2;18.5;7.9;0.9;1.9;2.8;2.1;0.7;0.3;1.7;1.3;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Daniel Theis;16;11;21.9;7.8;1.5;3.9;5.4;0.8;0.4;0.6;1.4;2.0;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Garrison Mathews;33;15;24.5;7.7;0.6;2.2;2.8;1.0;0.6;0.3;0.7;2.6;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;Away;D.J. Augustin;21;2;15.8;6.4;0.2;0.9;1.1;2.0;0.4;0.0;1.4;0.4;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Armoni Brooks;23;5;16.2;6.2;0.3;1.6;1.8;1.1;0.6;0.3;0.6;1.1;1.9
Houston Rockets;hou;2021 - 2022 Regular Season;Away;David Nwaba;25;1;14.0;6.1;0.9;2.5;3.4;1.0;0.6;0.4;0.5;1.4;1.9
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Trevelin Queen;7;0;6.9;4.3;0.6;0.9;1.4;0.4;0.6;0.1;0.4;0.4;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Daishen Nix;10;0;12.1;3.6;0.3;1.1;1.4;2.0;0.6;0.0;1.1;0.8;1.8
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Bruno Fernando;6;0;4.2;3.0;0.8;0.7;1.5;0.0;0.0;0.2;0.5;1.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Danuel House Jr.;6;1;10.0;2.7;0.2;1.5;1.7;0.7;0.3;0.5;1.3;0.7;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Usman Garuba;13;0;7.8;2.1;0.7;1.7;2.4;0.6;0.5;0.5;0.2;1.0;4.0
Houston Rockets;hou;2021 - 2022 Regular Season;Away;Total;41;"";"";107.5;10.3;32.5;42.7;22.5;7.5;4.5;16.6;20.2;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Jalen Green;2;2;30.5;19.5;0.5;2.5;3.0;1.5;0.5;1.0;2.0;1.5;0.8
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Armoni Brooks;1;0;25.0;17.0;0.0;3.0;3.0;2.0;2.0;1.0;2.0;1.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Kevin Porter Jr.;1;1;37.0;15.0;0.0;3.0;3.0;3.0;0.0;0.0;8.0;6.0;0.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Christian Wood;2;2;29.5;12.0;0.5;8.5;9.0;2.0;0.5;0.5;0.5;1.5;4.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Kenyon Martin Jr.;1;0;22.0;10.0;1.0;5.0;6.0;1.0;1.0;1.0;1.0;1.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Jae'Sean Tate;2;2;28.5;9.0;1.0;5.5;6.5;3.0;1.0;0.0;1.0;2.0;3.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Alperen Sengun;2;0;20.0;7.5;0.5;4.5;5.0;5.5;2.5;0.5;1.5;5.0;3.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Daniel Theis;2;2;22.0;6.5;0.5;4.5;5.0;1.5;0.0;1.0;1.0;3.0;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Eric Gordon;2;1;25.5;5.5;0.0;2.5;2.5;1.5;0.0;0.0;2.0;0.5;0.8
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Josh Christopher;2;0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;D.J. Augustin;2;0;14.0;3.5;0.0;0.5;0.5;1.5;0.0;0.0;1.0;1.5;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Garrison Mathews;1;0;19.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;David Nwaba;2;0;4.5;1.5;0.5;1.5;2.0;0.0;0.0;0.0;0.0;0.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Danuel House Jr.;2;0;10.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5;0.5;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Boston Celtics;Total;2;"";"";93.5;4.5;36.5;41.0;19.5;6.0;4.0;16.0;20.0;1.2
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Kevin Porter Jr.;1;1;41.0;36.0;0.0;2.0;2.0;4.0;1.0;1.0;3.0;3.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Jalen Green;1;1;41.0;30.0;1.0;5.0;6.0;2.0;1.0;1.0;2.0;0.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Eric Gordon;1;1;28.0;21.0;1.0;1.0;2.0;2.0;0.0;1.0;4.0;2.0;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Armoni Brooks;1;1;29.0;14.0;0.0;5.0;5.0;4.0;1.0;1.0;3.0;2.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Christian Wood;1;1;34.0;12.0;3.0;12.0;15.0;3.0;1.0;3.0;1.0;3.0;3.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Garrison Mathews;2;2;30.5;11.5;0.5;2.5;3.0;0.0;1.5;0.5;0.0;4.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Josh Christopher;2;0;27.0;11.5;1.5;3.5;5.0;2.0;2.0;1.5;2.0;2.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Alperen Sengun;2;1;25.0;10.0;4.0;2.5;6.5;3.0;0.0;0.5;0.5;2.0;6.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;D.J. Augustin;1;0;20.0;8.0;0.0;4.0;4.0;4.0;1.0;0.0;2.0;0.0;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Jae'Sean Tate;2;2;28.0;8.0;2.0;3.5;5.5;4.0;2.0;0.5;2.0;4.0;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Kenyon Martin Jr.;2;0;20.5;6.0;1.0;1.5;2.5;1.0;0.0;0.5;0.0;2.5;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Daishen Nix;1;0;8.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Usman Garuba;1;0;12.0;2.0;3.0;2.0;5.0;2.0;0.0;1.0;0.0;2.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;David Nwaba;1;0;5.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Brooklyn Nets;Total;2;"";"";109.5;13.5;29.5;43.0;20.5;8.5;7.5;12.0;21.5;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Christian Wood;1;1;37.0;18.0;1.0;11.0;12.0;3.0;0.0;2.0;6.0;4.0;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Jalen Green;1;1;36.0;16.0;2.0;0.0;2.0;2.0;0.0;0.0;3.0;1.0;0.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Jae'Sean Tate;2;2;30.0;15.5;2.0;4.5;6.5;4.5;0.5;1.0;3.5;5.5;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Josh Christopher;1;0;33.0;14.0;0.0;0.0;0.0;3.0;2.0;0.0;1.0;3.0;3.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Garrison Mathews;2;1;23.5;12.5;2.0;4.0;6.0;1.0;0.0;0.0;1.0;2.5;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Kenyon Martin Jr.;2;0;25.0;12.5;0.5;3.5;4.0;3.0;1.0;0.5;0.5;2.0;6.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Daniel Theis;2;2;28.0;12.0;1.5;6.0;7.5;1.0;0.5;1.5;1.5;3.0;0.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Eric Gordon;2;2;33.5;10.0;0.0;1.5;1.5;7.0;0.0;1.0;4.0;1.5;1.8
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;D.J. Augustin;2;0;15.0;6.5;0.5;0.0;0.5;2.5;1.0;0.0;1.5;0.0;1.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Alperen Sengun;2;0;19.5;5.5;1.0;3.0;4.0;2.0;0.0;1.0;2.0;3.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;David Nwaba;1;0;10.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Armoni Brooks;2;1;6.0;1.5;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.5;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Danuel House Jr.;1;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Usman Garuba;1;0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. New York Knicks;Total;2;"";"";101.0;9.0;29.5;38.5;25.0;4.5;6.0;19.5;23.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Eric Gordon;1;1;29.0;14.0;1.0;2.0;3.0;3.0;1.0;0.0;3.0;1.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Christian Wood;1;1;36.0;14.0;0.0;6.0;6.0;2.0;1.0;0.0;0.0;2.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Garrison Mathews;2;1;27.0;14.0;0.5;5.0;5.5;2.0;0.5;0.0;1.0;3.5;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Josh Christopher;2;0;22.0;13.0;0.0;2.0;2.0;3.0;2.0;0.0;1.5;0.5;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Jalen Green;2;2;28.5;13.0;0.5;3.5;4.0;0.5;0.0;0.0;4.5;0.5;0.1
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Jae'Sean Tate;2;2;26.5;11.5;0.0;2.0;2.0;3.0;0.5;2.0;0.0;2.5;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Kenyon Martin Jr.;2;0;23.5;10.5;2.5;3.5;6.0;2.0;0.0;1.0;1.5;1.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Daniel Theis;2;2;28.0;9.5;2.0;4.5;6.5;0.5;1.0;1.0;1.0;3.5;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;David Nwaba;2;0;15.0;8.0;1.0;1.5;2.5;2.0;1.0;1.0;0.0;0.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Kevin Porter Jr.;1;1;28.0;8.0;0.0;6.0;6.0;5.0;0.0;0.0;4.0;1.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Trevelin Queen;1;0;3.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;D.J. Augustin;2;0;15.5;2.0;0.5;1.5;2.0;2.0;0.0;0.0;1.0;0.0;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Daishen Nix;2;0;3.5;1.0;0.0;0.5;0.5;1.0;0.5;0.0;1.5;0.0;0.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Usman Garuba;1;0;5.0;0.0;2.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Total;2;"";"";102.0;9.0;31.5;40.5;21.5;7.0;5.5;15.5;13.5;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Kevin Porter Jr.;2;2;37.5;32.5;0.5;6.0;6.5;6.0;1.5;0.0;2.5;1.5;2.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Christian Wood;1;1;32.0;17.0;3.0;8.0;11.0;6.0;0.0;2.0;2.0;3.0;3.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Garrison Mathews;2;2;28.5;14.0;0.5;5.0;5.5;1.0;0.5;0.5;1.5;1.5;0.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Josh Christopher;2;0;22.5;13.0;0.0;3.5;3.5;2.0;0.5;0.0;2.0;2.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Jalen Green;2;2;36.0;13.0;0.5;3.0;3.5;2.0;0.5;0.0;4.0;1.0;0.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Jae'Sean Tate;2;2;33.0;12.0;2.5;3.0;5.5;4.5;0.5;0.5;2.5;4.0;1.8
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Alperen Sengun;2;1;26.5;8.5;1.0;2.0;3.0;3.5;0.5;0.5;1.5;3.5;2.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Kenyon Martin Jr.;2;0;22.0;8.0;1.5;2.5;4.0;1.0;0.5;0.5;2.5;1.5;0.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;David Nwaba;1;0;7.0;7.0;2.0;1.0;3.0;0.0;0.0;0.0;1.0;2.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Usman Garuba;1;0;15.0;5.0;1.0;2.0;3.0;2.0;2.0;1.0;0.0;3.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Daishen Nix;1;0;13.0;4.0;1.0;1.0;2.0;1.0;0.0;0.0;3.0;1.0;0.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Toronto Raptors;Total;2;"";"";117.5;10.0;31.0;41.0;24.5;5.5;3.5;19.5;19.5;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Christian Wood;2;2;30.5;19.5;2.5;8.0;10.5;3.5;0.0;1.0;1.5;3.5;2.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Danuel House Jr.;1;0;17.0;18.0;1.0;3.0;4.0;1.0;1.0;2.0;1.0;1.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Kevin Porter Jr.;1;1;37.0;14.0;0.0;6.0;6.0;9.0;1.0;0.0;6.0;0.0;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Armoni Brooks;2;1;24.5;13.0;0.5;1.0;1.5;2.5;1.0;0.5;0.0;1.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Jae'Sean Tate;2;2;22.0;12.0;0.5;3.5;4.0;3.5;0.0;0.0;2.5;3.0;1.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Jalen Green;1;1;11.0;11.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Alperen Sengun;2;0;17.5;10.5;1.5;3.0;4.5;2.0;1.0;0.0;3.0;3.0;0.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Eric Gordon;2;2;29.5;10.0;0.0;0.5;0.5;4.0;0.5;0.5;1.5;0.0;2.7
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Kenyon Martin Jr.;2;0;19.5;10.0;0.5;2.0;2.5;1.0;0.5;0.5;1.0;0.5;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Josh Christopher;1;0;20.0;10.0;0.0;3.0;3.0;2.0;0.0;1.0;2.0;1.0;1.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Garrison Mathews;2;1;27.0;9.0;0.5;4.0;4.5;1.5;0.5;0.5;0.5;4.0;3.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;David Nwaba;1;0;15.0;6.0;0.0;4.0;4.0;2.0;0.0;1.0;1.0;1.0;2.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;D.J. Augustin;2;0;16.0;3.5;0.5;2.0;2.5;1.0;0.0;0.0;2.5;0.0;0.4
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Trevelin Queen;1;0;4.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Usman Garuba;1;0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Chicago Bulls;Total;2;"";"";118.0;7.0;33.5;40.5;27.0;4.5;5.0;17.5;16.5;1.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Cleveland Cavaliers;Christian Wood;1;1;34.0;21.0;1.0;6.0;7.0;4.0;2.0;0.0;1.0;5.0;4.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Cleveland Cavaliers;Jalen Green;1;1;36.0;21.0;0.0;5.0;5.0;5.0;1.0;1.0;0.0;3.0;INF
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Cleveland Cavaliers;Kevin Porter Jr.;1;1;32.0;16.0;0.0;1.0;1.0;7.0;1.0;0.0;2.0;3.0;3.5
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Cleveland Cavaliers;Alperen Sengun;2;0;26.0;14.0;3.0;6.5;9.5;4.0;1.0;1.0;3.0;2.0;1.3
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Cleveland Cavaliers;Kenyon Martin Jr.;2;0;22.0;12.0;1.5;1.0;2.5;0.0;1.5;0.0;1.0;0.0;0.0
Houston Rockets;hou;2021 - 2022 Regular Season;vs. Cleveland Cavaliers;Eric Gordon;1;1;30.0;11.0;0.0;2.0;2.0;3.0;0.0;0.0;0.0;1.0;INF
